order_id,customer_id,order_date,product_id,product_name,quantity,unit_price,gross_revenue,discount_amount,net_revenue,product_cost,margin,region,state,city,category,subcategory,brand,shipping_date,delivery_date,delivery_status,return_flag,dispute_flag,logistics_hub,transit_days,shipping_cost,customer_segment,acquisition_channel,order_year,order_quarter,order_month,order_day,discount_rate,margin_rate,transit_bucket,is_delayed,customer_order_rank,is_repeat_order
ORD-18294,CUST-0001,2023-04-05,PROD-0002,TechNova Laptops 1,1,887.51,887.51,0.0,887.51,525.98,361.53,West,Oregon,Las Vegas,Electronics,Laptops,Technova,2023-04-06,2023-04-09,Delivered,0,0,Hub-West-Seattle,3.0,20.41,Consumer,Email Campaign,2023,2023Q2,2023-04,Wednesday,0.0,0.4074,3-4 Days (Standard),0,1,0
ORD-12739,CUST-0001,2023-04-20,PROD-0037,ApexGear Men's Apparel 2,1,164.31,164.31,0.0,164.31,96.51,67.8,East,Massachusetts,New York,Apparel & Fashion,Men'S Apparel,Apexgear,2023-04-22,2023-04-25,Delivered,0,0,Hub-East-NewYork,3.0,12.29,Consumer,Email Campaign,2023,2023Q2,2023-04,Thursday,0.0,0.4126,3-4 Days (Standard),0,2,1
ORD-17408,CUST-0001,2023-09-30,PROD-0038,ApexGear Women's Apparel 1,1,49.19,49.19,0.0,49.19,21.86,27.33,West,Washington,Seattle,Apparel & Fashion,Women'S Apparel,Apexgear,2023-10-02,2023-10-06,Delivered,0,0,Hub-West-Seattle,4.0,14.0,Consumer,Email Campaign,2023,2023Q3,2023-09,Saturday,0.0,0.5556,3-4 Days (Standard),0,3,1
ORD-11484,CUST-0001,2023-10-07,PROD-0056,LuxLiving Furniture & Decor 1,1,53.15,53.15,10.63,42.52,25.51,17.01,West,Nevada,San Francisco,Home & Kitchen,Furniture & Decor,Luxliving,2023-10-09,2023-10-16,Delivered,0,0,Hub-West-Seattle,7.0,12.63,Consumer,Email Campaign,2023,2023Q4,2023-10,Saturday,0.2,0.4,7+ Days (Severe Delay),1,4,1
ORD-10438,CUST-0001,2024-01-09,PROD-0102,ZenFit Cycling & Action 1,1,204.04,204.04,20.4,183.64,137.44,46.2,North,Michigan,Milwaukee,Sports & Outdoors,Cycling & Action,Zenfit,2024-01-10,2024-01-15,Returned,1,0,Hub-North-Chicago,5.0,11.17,Consumer,Email Campaign,2024,2024Q1,2024-01,Tuesday,0.1,0.2516,5-6 Days (Delayed),0,5,1
ORD-12675,CUST-0001,2024-01-16,PROD-0050,AuraHome Bedding 1,1,224.37,224.37,11.22,213.15,112.8,100.35,North,Ohio,Chicago,Home & Kitchen,Bedding,Aurahome,2024-01-18,2024-01-22,Delivered,0,0,Hub-North-Chicago,4.0,11.25,Consumer,Email Campaign,2024,2024Q1,2024-01,Tuesday,0.05,0.4708,3-4 Days (Standard),0,6,1
ORD-24204,CUST-0001,2024-01-18,PROD-0029,SwiftStyle Men's Apparel 1,1,199.37,199.37,0.0,199.37,155.51,43.86,South,Florida,Charlotte,Apparel & Fashion,Men'S Apparel,Swiftstyle,2024-01-19,2024-01-23,Delivered,0,0,Hub-South-Atlanta,4.0,12.1,Consumer,Email Campaign,2024,2024Q1,2024-01,Thursday,0.0,0.22,3-4 Days (Standard),0,7,1
ORD-13967,CUST-0001,2024-02-05,PROD-0036,ApexGear Men's Apparel 1,1,187.52,187.52,0.0,187.52,65.98,121.54,North,Ohio,Detroit,Apparel & Fashion,Men'S Apparel,Apexgear,2024-02-07,2024-02-11,Delivered,0,0,Hub-North-Chicago,4.0,8.52,Consumer,Email Campaign,2024,2024Q1,2024-02,Monday,0.0,0.6481,3-4 Days (Standard),0,8,1
ORD-21184,CUST-0001,2024-03-29,PROD-0077,GlowLabs Fragrance 1,1,75.69,75.69,0.0,75.69,35.53,40.16,South,North Carolina,Charlotte,Health & Beauty,Fragrance,Glowlabs,2024-03-30,2024-04-02,Delivered,0,0,Hub-South-Atlanta,3.0,16.77,Consumer,Email Campaign,2024,2024Q1,2024-03,Friday,0.0,0.5306,3-4 Days (Standard),0,9,1
ORD-25078,CUST-0001,2024-04-22,PROD-0023,UrbanChic Men's Apparel 1,1,136.85,136.85,6.84,130.01,76.32,53.69,North,Wisconsin,Columbus,Apparel & Fashion,Men'S Apparel,Urbanchic,2024-04-23,2024-04-28,Delivered,0,0,Hub-North-Chicago,5.0,10.47,Consumer,Email Campaign,2024,2024Q2,2024-04,Monday,0.05,0.413,5-6 Days (Delayed),0,10,1
