customer_id,customer_segment,acquisition_channel,signup_date
CUST-0001,Consumer,Email Campaign,2022-04-13
CUST-0002,Consumer,Organic Search,2023-03-12
CUST-0003,Consumer,Organic Search,2024-05-10
CUST-0004,Consumer,Organic Search,2022-09-28
CUST-0005,Corporate,Organic Search,2022-04-17
CUST-0006,Consumer,Organic Search,2022-03-13
CUST-0007,Consumer,Paid Ads,2023-12-02
CUST-0008,Consumer,Organic Search,2022-01-21
CUST-0009,Consumer,Paid Ads,2023-09-07
CUST-0010,Consumer,Referral,2022-05-02
CUST-0011,Consumer,Social Media,2023-04-12
CUST-0012,Consumer,Referral,2022-08-03
CUST-0013,Small Business,Organic Search,2022-11-27
CUST-0014,Consumer,Paid Ads,2023-04-04
CUST-0015,Consumer,Paid Ads,2022-03-29
CUST-0016,Corporate,Organic Search,2023-01-08
CUST-0017,Small Business,Organic Search,2022-04-10
CUST-0018,Consumer,Social Media,2024-05-21
CUST-0019,Consumer,Social Media,2023-10-26
CUST-0020,Consumer,Paid Ads,2022-05-11
CUST-0021,Small Business,Paid Ads,2023-10-24
CUST-0022,Corporate,Paid Ads,2022-11-05
CUST-0023,Small Business,Organic Search,2024-02-09
CUST-0024,Consumer,Organic Search,2022-12-10
CUST-0025,Small Business,Organic Search,2023-05-07
CUST-0026,Consumer,Organic Search,2023-02-18
CUST-0027,Consumer,Referral,2024-03-16
CUST-0028,Consumer,Paid Ads,2023-01-21
CUST-0029,Corporate,Social Media,2022-07-11
CUST-0030,Consumer,Organic Search,2022-10-04
CUST-0031,Small Business,Paid Ads,2022-06-10
CUST-0032,Consumer,Organic Search,2023-04-05
CUST-0033,Consumer,Organic Search,2022-11-10
CUST-0034,Consumer,Organic Search,2022-01-22
CUST-0035,Consumer,Social Media,2022-09-10
CUST-0036,Small Business,Social Media,2024-01-18
CUST-0037,Consumer,Paid Ads,2024-05-06
CUST-0038,Small Business,Paid Ads,2023-07-15
CUST-0039,Small Business,Referral,2023-04-20
CUST-0040,Corporate,Organic Search,2022-02-28
CUST-0041,Consumer,Organic Search,2023-05-26
CUST-0042,Consumer,Organic Search,2023-11-13
CUST-0043,Consumer,Social Media,2023-04-21
CUST-0044,Corporate,Referral,2023-12-01
CUST-0045,Corporate,Organic Search,2024-02-22
CUST-0046,Consumer,Email Campaign,2022-07-09
CUST-0047,Small Business,Email Campaign,2023-11-18
CUST-0048,Consumer,Organic Search,2023-07-17
CUST-0049,Consumer,Paid Ads,2024-05-25
CUST-0050,Consumer,Paid Ads,2023-07-21
CUST-0051,Small Business,Referral,2022-09-01
CUST-0052,Consumer,Organic Search,2024-04-11
CUST-0053,Small Business,Social Media,2023-05-20
CUST-0054,Small Business,Organic Search,2022-05-11
CUST-0055,Small Business,Social Media,2023-04-30
CUST-0056,Consumer,Paid Ads,2024-03-29
CUST-0057,Consumer,Paid Ads,2023-10-09
CUST-0058,Consumer,Email Campaign,2022-01-21
CUST-0059,Consumer,Email Campaign,2024-04-20
CUST-0060,Consumer,Email Campaign,2022-06-16
CUST-0061,Corporate,Organic Search,2022-10-01
CUST-0062,Consumer,Social Media,2023-01-23
CUST-0063,Consumer,Organic Search,2023-08-24
CUST-0064,Consumer,Paid Ads,2022-11-12
CUST-0065,Consumer,Paid Ads,2022-01-14
CUST-0066,Consumer,Paid Ads,2022-08-30
CUST-0067,Consumer,Paid Ads,2024-02-16
CUST-0068,Corporate,Referral,2022-12-12
CUST-0069,Consumer,Organic Search,2023-07-19
CUST-0070,Corporate,Social Media,2024-06-16
CUST-0071,Small Business,Paid Ads,2022-12-06
CUST-0072,Consumer,Organic Search,2022-04-02
CUST-0073,Corporate,Organic Search,2023-01-02
CUST-0074,Consumer,Referral,2023-03-31
CUST-0075,Small Business,Email Campaign,2023-03-04
CUST-0076,Consumer,Email Campaign,2023-05-24
CUST-0077,Small Business,Referral,2024-02-15
CUST-0078,Small Business,Organic Search,2022-02-04
CUST-0079,Small Business,Paid Ads,2022-07-25
CUST-0080,Small Business,Social Media,2022-03-22
CUST-0081,Consumer,Paid Ads,2023-07-16
CUST-0082,Consumer,Paid Ads,2024-05-21
CUST-0083,Consumer,Paid Ads,2023-01-23
CUST-0084,Consumer,Paid Ads,2022-01-02
CUST-0085,Small Business,Paid Ads,2023-01-25
CUST-0086,Consumer,Organic Search,2023-07-20
CUST-0087,Corporate,Paid Ads,2022-04-16
CUST-0088,Consumer,Paid Ads,2024-02-11
CUST-0089,Small Business,Paid Ads,2024-04-01
CUST-0090,Consumer,Organic Search,2023-04-22
CUST-0091,Small Business,Social Media,2023-12-04
CUST-0092,Corporate,Organic Search,2023-02-06
CUST-0093,Consumer,Paid Ads,2023-12-31
CUST-0094,Consumer,Social Media,2023-07-10
CUST-0095,Small Business,Paid Ads,2022-06-11
CUST-0096,Consumer,Organic Search,2022-07-21
CUST-0097,Consumer,Social Media,2022-09-27
CUST-0098,Consumer,Paid Ads,2024-05-12
CUST-0099,Consumer,Social Media,2024-03-26
CUST-0100,Consumer,Social Media,2022-09-28
CUST-0101,Consumer,Paid Ads,2023-04-01
CUST-0102,Consumer,Paid Ads,2023-04-07
CUST-0103,Consumer,Organic Search,2023-12-28
CUST-0104,Corporate,Organic Search,2022-09-09
CUST-0105,Consumer,Paid Ads,2023-12-03
CUST-0106,Corporate,Paid Ads,2022-10-23
CUST-0107,Consumer,Paid Ads,2023-12-26
CUST-0108,Consumer,Organic Search,2023-12-21
CUST-0109,Consumer,Organic Search,2024-01-19
CUST-0110,Consumer,Paid Ads,2022-12-04
CUST-0111,Consumer,Organic Search,2024-05-28
CUST-0112,Consumer,Social Media,2022-02-22
CUST-0113,Consumer,Organic Search,2024-03-02
CUST-0114,Consumer,Paid Ads,2022-08-05
CUST-0115,Small Business,Referral,2024-02-03
CUST-0116,Consumer,Organic Search,2022-07-07
CUST-0117,Consumer,Paid Ads,2023-01-15
CUST-0118,Small Business,Organic Search,2023-05-08
CUST-0119,Consumer,Paid Ads,2022-02-10
CUST-0120,Consumer,Paid Ads,2022-06-06
CUST-0121,Corporate,Paid Ads,2022-01-15
CUST-0122,Consumer,Paid Ads,2024-03-23
CUST-0123,Small Business,Email Campaign,2022-03-06
CUST-0124,Corporate,Organic Search,2024-05-06
CUST-0125,Consumer,Organic Search,2024-04-18
CUST-0126,Consumer,Email Campaign,2023-06-05
CUST-0127,Consumer,Paid Ads,2022-12-10
CUST-0128,Consumer,Email Campaign,2022-05-09
CUST-0129,Consumer,Paid Ads,2023-10-10
CUST-0130,Small Business,Email Campaign,2023-04-17
CUST-0131,Consumer,Paid Ads,2022-03-04
CUST-0132,Consumer,Social Media,2022-05-19
CUST-0133,Corporate,Email Campaign,2023-05-14
CUST-0134,Small Business,Paid Ads,2023-08-16
CUST-0135,Consumer,Organic Search,2023-01-27
CUST-0136,Consumer,Organic Search,2023-11-06
CUST-0137,Consumer,Organic Search,2023-02-23
CUST-0138,Consumer,Organic Search,2022-10-16
CUST-0139,Consumer,Organic Search,2023-01-14
CUST-0140,Consumer,Paid Ads,2024-02-12
CUST-0141,Corporate,Paid Ads,2023-05-05
CUST-0142,Consumer,Paid Ads,2022-08-19
CUST-0143,Consumer,Paid Ads,2022-02-10
CUST-0144,Consumer,Organic Search,2022-01-28
CUST-0145,Consumer,Organic Search,2022-05-15
CUST-0146,Small Business,Organic Search,2022-07-20
CUST-0147,Small Business,Paid Ads,2024-04-19
CUST-0148,Small Business,Organic Search,2024-02-19
CUST-0149,Consumer,Organic Search,2022-02-02
CUST-0150,Consumer,Paid Ads,2022-02-17
CUST-0151,Consumer,Email Campaign,2023-05-18
CUST-0152,Consumer,Organic Search,2023-02-11
CUST-0153,Consumer,Social Media,2023-07-28
CUST-0154,Small Business,Social Media,2023-12-29
CUST-0155,Consumer,Social Media,2024-03-15
CUST-0156,Consumer,Referral,2022-04-09
CUST-0157,Consumer,Organic Search,2023-11-15
CUST-0158,Consumer,Organic Search,2024-05-21
CUST-0159,Consumer,Email Campaign,2023-12-27
CUST-0160,Corporate,Paid Ads,2023-07-01
CUST-0161,Small Business,Paid Ads,2024-01-09
CUST-0162,Corporate,Social Media,2023-09-05
CUST-0163,Consumer,Social Media,2023-04-07
CUST-0164,Consumer,Referral,2023-10-05
CUST-0165,Consumer,Referral,2024-02-08
CUST-0166,Consumer,Social Media,2022-01-05
CUST-0167,Small Business,Organic Search,2022-08-06
CUST-0168,Consumer,Email Campaign,2023-05-18
CUST-0169,Consumer,Organic Search,2024-02-06
CUST-0170,Consumer,Organic Search,2023-02-02
CUST-0171,Consumer,Email Campaign,2024-05-20
CUST-0172,Small Business,Organic Search,2024-03-05
CUST-0173,Consumer,Organic Search,2023-01-28
CUST-0174,Consumer,Organic Search,2022-07-26
CUST-0175,Consumer,Email Campaign,2022-01-15
CUST-0176,Consumer,Paid Ads,2024-05-07
CUST-0177,Small Business,Social Media,2023-07-08
CUST-0178,Corporate,Organic Search,2024-06-10
CUST-0179,Corporate,Social Media,2023-04-06
CUST-0180,Small Business,Social Media,2023-11-22
CUST-0181,Consumer,Organic Search,2023-07-29
CUST-0182,Small Business,Paid Ads,2024-05-13
CUST-0183,Consumer,Organic Search,2024-01-13
CUST-0184,Consumer,Referral,2022-08-29
CUST-0185,Small Business,Social Media,2023-07-18
CUST-0186,Consumer,Referral,2022-04-06
CUST-0187,Corporate,Organic Search,2024-06-18
CUST-0188,Consumer,Social Media,2024-01-04
CUST-0189,Consumer,Social Media,2023-04-30
CUST-0190,Small Business,Social Media,2023-02-11
CUST-0191,Corporate,Referral,2022-08-19
CUST-0192,Consumer,Paid Ads,2024-01-19
CUST-0193,Consumer,Organic Search,2023-10-17
CUST-0194,Consumer,Social Media,2022-06-20
CUST-0195,Consumer,Social Media,2023-06-25
CUST-0196,Consumer,Paid Ads,2022-02-05
CUST-0197,Small Business,Organic Search,2023-06-09
CUST-0198,Consumer,Paid Ads,2022-06-09
CUST-0199,Small Business,Organic Search,2024-04-18
CUST-0200,Consumer,Paid Ads,2023-11-30
CUST-0201,Consumer,Social Media,2022-08-31
CUST-0202,Small Business,Social Media,2022-03-27
CUST-0203,Consumer,Organic Search,2024-03-06
CUST-0204,Consumer,Paid Ads,2023-08-01
CUST-0205,Consumer,Organic Search,2023-11-13
CUST-0206,Corporate,Organic Search,2023-07-11
CUST-0207,Small Business,Social Media,2023-07-28
CUST-0208,Consumer,Email Campaign,2023-10-08
CUST-0209,Consumer,Paid Ads,2024-03-06
CUST-0210,Consumer,Social Media,2022-01-28
CUST-0211,Small Business,Email Campaign,2023-09-12
CUST-0212,Small Business,Email Campaign,2023-07-10
CUST-0213,Consumer,Organic Search,2022-12-06
CUST-0214,Consumer,Referral,2024-03-08
CUST-0215,Consumer,Paid Ads,2022-11-27
CUST-0216,Small Business,Organic Search,2023-10-02
CUST-0217,Small Business,Organic Search,2023-05-21
CUST-0218,Consumer,Paid Ads,2022-12-14
CUST-0219,Consumer,Organic Search,2023-04-18
CUST-0220,Consumer,Organic Search,2022-08-19
CUST-0221,Corporate,Organic Search,2022-07-09
CUST-0222,Consumer,Email Campaign,2022-08-13
CUST-0223,Small Business,Email Campaign,2023-01-20
CUST-0224,Consumer,Organic Search,2023-01-12
CUST-0225,Consumer,Email Campaign,2022-10-10
CUST-0226,Consumer,Email Campaign,2023-09-25
CUST-0227,Consumer,Social Media,2023-09-20
CUST-0228,Consumer,Organic Search,2024-01-15
CUST-0229,Small Business,Social Media,2022-09-16
CUST-0230,Consumer,Referral,2022-12-25
CUST-0231,Consumer,Social Media,2023-12-11
CUST-0232,Consumer,Organic Search,2023-04-01
CUST-0233,Corporate,Paid Ads,2023-02-15
CUST-0234,Small Business,Social Media,2023-10-11
CUST-0235,Consumer,Paid Ads,2022-11-14
CUST-0236,Corporate,Organic Search,2023-11-08
CUST-0237,Consumer,Organic Search,2022-08-13
CUST-0238,Consumer,Email Campaign,2024-03-29
