product_id,product_name,category,subcategory,brand,unit_price,product_cost
PROD-0001,TechNova Smartphones 1,Electronics,Smartphones,TechNova,268.31,205.55
PROD-0002,TechNova Laptops 1,Electronics,Laptops,TechNova,887.51,525.98
PROD-0003,TechNova Audio & Headphones 1,Electronics,Audio & Headphones,TechNova,613.24,374.08
PROD-0004,TechNova Audio & Headphones 2,Electronics,Audio & Headphones,TechNova,101.53,60.96
PROD-0005,TechNova Accessories 1,Electronics,Accessories,TechNova,194.81,147.93
PROD-0006,OmniVolt Smartphones 1,Electronics,Smartphones,OmniVolt,728.29,568.07
PROD-0007,OmniVolt Laptops 1,Electronics,Laptops,OmniVolt,447.09,348.73
PROD-0008,OmniVolt Audio & Headphones 1,Electronics,Audio & Headphones,OmniVolt,90.91,70.91
PROD-0009,OmniVolt Audio & Headphones 2,Electronics,Audio & Headphones,OmniVolt,748.01,594.79
PROD-0010,OmniVolt Accessories 1,Electronics,Accessories,OmniVolt,686.1,535.16
PROD-0011,PulseAudio Smartphones 1,Electronics,Smartphones,PulseAudio,532.49,312.24
PROD-0012,PulseAudio Laptops 1,Electronics,Laptops,PulseAudio,146.7,109.65
PROD-0013,PulseAudio Audio & Headphones 1,Electronics,Audio & Headphones,PulseAudio,261.04,160.27
PROD-0014,PulseAudio Audio & Headphones 2,Electronics,Audio & Headphones,PulseAudio,530.41,362.44
PROD-0015,PulseAudio Accessories 1,Electronics,Accessories,PulseAudio,416.61,340.69
PROD-0016,PulseAudio Accessories 2,Electronics,Accessories,PulseAudio,434.21,351.25
PROD-0017,SoundPeak Smartphones 1,Electronics,Smartphones,SoundPeak,846.04,619.06
PROD-0018,SoundPeak Laptops 1,Electronics,Laptops,SoundPeak,592.18,362.11
PROD-0019,SoundPeak Audio & Headphones 1,Electronics,Audio & Headphones,SoundPeak,722.15,424.37
PROD-0020,SoundPeak Audio & Headphones 2,Electronics,Audio & Headphones,SoundPeak,746.09,607.77
PROD-0021,SoundPeak Accessories 1,Electronics,Accessories,SoundPeak,517.04,388.67
PROD-0022,SoundPeak Accessories 2,Electronics,Accessories,SoundPeak,68.53,45.2
PROD-0023,UrbanChic Men's Apparel 1,Apparel & Fashion,Men's Apparel,UrbanChic,136.85,76.32
PROD-0024,UrbanChic Women's Apparel 1,Apparel & Fashion,Women's Apparel,UrbanChic,207.45,77.05
PROD-0025,UrbanChic Women's Apparel 2,Apparel & Fashion,Women's Apparel,UrbanChic,76.89,28.76
PROD-0026,UrbanChic Footwear 1,Apparel & Fashion,Footwear,UrbanChic,105.68,56.7
PROD-0027,UrbanChic Footwear 2,Apparel & Fashion,Footwear,UrbanChic,236.03,83.61
PROD-0028,UrbanChic Bags & Luggage 1,Apparel & Fashion,Bags & Luggage,UrbanChic,116.67,62.53
PROD-0029,SwiftStyle Men's Apparel 1,Apparel & Fashion,Men's Apparel,SwiftStyle,199.37,155.51
PROD-0030,SwiftStyle Men's Apparel 2,Apparel & Fashion,Men's Apparel,SwiftStyle,90.54,70.62
PROD-0031,SwiftStyle Women's Apparel 1,Apparel & Fashion,Women's Apparel,SwiftStyle,60.51,47.2
PROD-0032,SwiftStyle Footwear 1,Apparel & Fashion,Footwear,SwiftStyle,116.93,91.21
PROD-0033,SwiftStyle Footwear 2,Apparel & Fashion,Footwear,SwiftStyle,46.01,35.89
PROD-0034,SwiftStyle Bags & Luggage 1,Apparel & Fashion,Bags & Luggage,SwiftStyle,23.2,18.1
PROD-0035,SwiftStyle Bags & Luggage 2,Apparel & Fashion,Bags & Luggage,SwiftStyle,212.25,165.56
PROD-0036,ApexGear Men's Apparel 1,Apparel & Fashion,Men's Apparel,ApexGear,187.52,65.98
PROD-0037,ApexGear Men's Apparel 2,Apparel & Fashion,Men's Apparel,ApexGear,164.31,96.51
