brand,category,net_revenue,gross_revenue,margin,orders,customers,units,return_flag,dispute_flag,discount_amount,revenue_share,gross_margin_pct,aov,return_rate,dispute_rate,discount_rate,growth_rate,portfolio_classification
Aurahome,Home & Kitchen,969505.05,1011696.68,329022.99,2158,1373,3062,0.041685965724872626,0.014821676702176934,42191.63,0.1791,0.3394,449.26,0.0417,0.0148,0.0417,0.7354,Anchor Brand
Technova,Electronics,852313.77,893439.58,284273.27,1564,1121,2208,0.03580562659846547,0.015345268542199489,41125.81,0.1575,0.3335,544.96,0.0358,0.0153,0.046,0.6677,Anchor Brand
Pulseaudio,Electronics,535130.7,560736.06,139727.01,1007,819,1434,0.038728897715988087,0.010923535253227408,25605.36,0.0989,0.2611,531.41,0.0387,0.0109,0.0457,0.7348,Anchor Brand
Soundpeak,Electronics,383482.02,400525.63,99896.15,513,456,697,0.037037037037037035,0.01364522417153996,17043.61,0.0708,0.2605,747.53,0.037,0.0136,0.0426,0.7545,Growth Brand
Apexgear,Apparel & Fashion,371030.05,388120.51,206343.6,1847,1260,2622,0.0568489442338928,0.008121277747698972,17090.46,0.0685,0.5561,200.88,0.0568,0.0081,0.044,0.6076,Anchor Brand
Omnivolt,Electronics,319638.77999999997,334447.06,57272.26,423,387,621,0.037825059101654845,0.014184397163120567,14808.28,0.059,0.1792,755.65,0.0378,0.0142,0.0443,0.3336,Risk Brand
Zenfit,Sports & Outdoors,290131.54,302077.56,108391.4,1011,816,1463,0.03758654797230465,0.01483679525222552,11946.02,0.0536,0.3736,286.97,0.0376,0.0148,0.0395,0.544,Anchor Brand
Havencraft,Home & Kitchen,222369.3,232074.02,93655.59,595,526,866,0.047058823529411764,0.010084033613445379,9704.72,0.0411,0.4212,373.73,0.0471,0.0101,0.0418,0.7907,Margin Brand
Luxliving,Home & Kitchen,204511.74,212771.6,103273.31999999999,570,486,794,0.043859649122807015,0.015789473684210527,8259.86,0.0378,0.505,358.79,0.0439,0.0158,0.0388,0.6598,Margin Brand
Velosprint,Sports & Outdoors,204019.63999999998,213021.53,79457.55,489,444,719,0.04703476482617587,0.012269938650306749,9001.89,0.0377,0.3895,417.22,0.047,0.0123,0.0423,0.653,Margin Brand
Summitpro,Sports & Outdoors,200742.72,209236.91,75353.63,468,425,662,0.06623931623931624,0.00641025641025641,8494.19,0.0371,0.3754,428.94,0.0662,0.0064,0.0406,0.727,Margin Brand
Urbanchic,Apparel & Fashion,200409.81,209729.37,108969.87,1011,795,1422,0.06528189910979229,0.006923837784371909,9319.56,0.037,0.5437,198.23,0.0653,0.0069,0.0444,0.5083,Margin Brand
Cozynest,Home & Kitchen,147622.06,154508.41,59332.51,527,461,780,0.026565464895635674,0.013282732447817837,6886.349999999999,0.0273,0.4019,280.12,0.0266,0.0133,0.0446,0.8029,Margin Brand
Trailblaze,Sports & Outdoors,93662.87,98667.06999999999,35971.86,400,359,579,0.02,0.01,5004.2,0.0173,0.3841,234.16,0.02,0.01,0.0507,0.6053,Margin Brand
Swiftstyle,Apparel & Fashion,88692.71,92489.89,16548.3,617,533,885,0.055105348460291734,0.009724473257698542,3797.18,0.0164,0.1866,143.75,0.0551,0.0097,0.0411,0.4824,Core Portfolio
Vogueera,Apparel & Fashion,84298.82,87701.12,42011.57,437,406,643,0.057208237986270026,0.002288329519450801,3402.3,0.0156,0.4984,192.9,0.0572,0.0023,0.0388,0.693,Margin Brand
Pureessence,Health & Beauty,82597.31,86212.47,46179.63,631,538,888,0.03486529318541997,0.012678288431061807,3615.16,0.0153,0.5591,130.9,0.0349,0.0127,0.0419,0.8888,Margin Brand
Glowlabs,Health & Beauty,76680.65,80306.12,41771.49,823,701,1169,0.038882138517618466,0.012150668286755772,3625.47,0.0142,0.5447,93.17,0.0389,0.0122,0.0451,0.655,Margin Brand
Dermacare,Health & Beauty,56153.5,58560.23,31355.760000000002,521,456,731,0.04030710172744722,0.011516314779270634,2406.73,0.0104,0.5584,107.78,0.0403,0.0115,0.0411,0.5868,Margin Brand
Vitalbotanics,Health & Beauty,30228.0,31409.52,17252.98,376,348,553,0.034574468085106384,0.018617021276595744,1181.52,0.0056,0.5708,80.39,0.0346,0.0186,0.0376,0.8113,Margin Brand
