cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,1.0,0.0889,0.1111,0.1333,0.0667,0.3333,0.3111,0.3111,0.1556,0.2667,0.4,0.3778,0.3556,0.3556,0.5556,0.4,0.4222,0.4,0.3111,0.2444,0.2222,0.1333,0.1111,0.0667
2023-02,1.0,0.0545,0.1545,0.1727,0.1727,0.1727,0.2545,0.2,0.3091,0.3182,0.3,0.3727,0.3455,0.3818,0.4909,0.3273,0.3182,0.3455,0.2727,0.2,0.1818,0.1182,0.0091,
2023-03,1.0,0.1198,0.151,0.1302,0.2344,0.2031,0.25,0.3906,0.3333,0.375,0.3385,0.4583,0.4167,0.4062,0.4167,0.349,0.3125,0.25,0.1979,0.1354,0.099,0.0312,,
2023-04,1.0,0.1518,0.2455,0.2188,0.2723,0.2991,0.3438,0.2321,0.3393,0.4286,0.3705,0.3705,0.4107,0.4241,0.3973,0.4062,0.3125,0.25,0.1562,0.0982,0.0134,,,
2023-05,1.0,0.1758,0.2234,0.2381,0.2527,0.3223,0.2674,0.3626,0.3956,0.3443,0.359,0.3993,0.4286,0.3516,0.315,0.2234,0.1868,0.1282,0.0916,0.044,,,,
2023-06,1.0,0.2008,0.2087,0.2323,0.2874,0.2835,0.2874,0.3425,0.3346,0.3819,0.4016,0.437,0.3425,0.3228,0.2283,0.2165,0.1732,0.0945,0.0236,,,,,
2023-07,1.0,0.2565,0.2522,0.2609,0.3348,0.3435,0.3348,0.387,0.4174,0.3957,0.3739,0.3609,0.2696,0.2609,0.2261,0.1478,0.0652,0.0304,,,,,,
2023-08,1.0,0.1913,0.2261,0.2435,0.3043,0.3304,0.287,0.387,0.3217,0.3174,0.3087,0.2652,0.1957,0.1652,0.1565,0.0739,0.0478,,,,,,,
2023-09,1.0,0.2113,0.2113,0.3192,0.2958,0.3427,0.3239,0.385,0.3146,0.23,0.23,0.216,0.1831,0.1315,0.0986,0.0282,,,,,,,,
2023-10,1.0,0.2098,0.2634,0.2634,0.2439,0.2976,0.3122,0.2732,0.2341,0.2439,0.1805,0.1707,0.1659,0.0634,0.0341,,,,,,,,,
2023-11,1.0,0.2293,0.2484,0.1847,0.2229,0.242,0.3312,0.2166,0.1847,0.2357,0.1465,0.0701,0.0701,0.0127,,,,,,,,,,
2023-12,1.0,0.2254,0.2183,0.2324,0.2606,0.2535,0.2394,0.2254,0.1831,0.1197,0.0986,0.0141,0.007,,,,,,,,,,,
2024-01,1.0,0.2788,0.2981,0.2596,0.2788,0.2596,0.2212,0.1731,0.1058,0.1058,0.0577,0.0288,,,,,,,,,,,,
2024-02,1.0,0.1519,0.2658,0.3291,0.2025,0.1519,0.1772,0.1139,0.1013,0.0506,0.038,,,,,,,,,,,,,
2024-03,1.0,0.2381,0.2381,0.2143,0.2143,0.119,0.0952,0.0833,0.0595,0.0119,,,,,,,,,,,,,,
2024-04,1.0,0.2,0.1571,0.2143,0.1857,0.0857,0.1,0.0714,,,,,,,,,,,,,,,,
2024-05,1.0,0.1633,0.0816,0.0816,0.2041,0.1633,0.0816,0.0816,,,,,,,,,,,,,,,,
2024-06,1.0,0.1852,0.2222,0.0741,0.1852,0.037,0.037,,,,,,,,,,,,,,,,,
2024-07,1.0,0.1,0.15,,0.05,,,,,,,,,,,,,,,,,,,
2024-08,1.0,0.2143,,0.1429,,,,,,,,,,,,,,,,,,,,
2024-09,1.0,,,0.0667,,,,,,,,,,,,,,,,,,,,
2024-10,1.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11,1.0,,,,,,,,,,,,,,,,,,,,,,,
