customer_id,recency,frequency,monetary,first_order_date,last_order_date,avg_transit_days,return_rate,aov,R_score,F_score,M_score,segment
CUST-0001,207,11,2178.56,2023-04-05,2024-06-01,4.090909090909091,0.09090909090909091,198.05,2,5,4,At Risk
CUST-0002,295,3,561.0,2023-11-06,2024-03-05,4.333333333333333,0.0,187.0,1,2,1,Dormant
CUST-0003,312,6,1587.72,2023-04-11,2024-02-17,3.6,0.0,264.62,1,3,3,At Risk
CUST-0004,124,6,2564.08,2023-12-31,2024-08-23,3.8,0.0,427.35,4,3,4,Loyal Customers
CUST-0005,188,5,980.1500000000001,2023-07-25,2024-06-20,3.8,0.0,196.03,2,3,2,At Risk
CUST-0006,105,12,2662.57,2023-04-19,2024-09-11,3.3,0.08333333333333333,221.88,4,5,4,Champions
CUST-0007,100,11,2417.38,2023-06-20,2024-09-16,3.090909090909091,0.0,219.76,4,5,4,Champions
CUST-0008,142,11,5898.7,2023-04-27,2024-08-05,2.6363636363636362,0.18181818181818182,536.25,3,5,5,Loyal Customers
CUST-0009,205,7,1662.11,2023-06-16,2024-06-03,3.2857142857142856,0.0,237.44,2,4,3,At Risk
CUST-0010,105,10,1970.6399999999999,2023-03-30,2024-09-11,2.9,0.0,197.06,4,5,4,Champions
CUST-0011,94,10,2693.34,2023-09-29,2024-09-22,3.0,0.0,269.33,4,5,4,Champions
CUST-0012,90,6,2063.93,2023-10-04,2024-09-26,2.8333333333333335,0.0,343.99,4,3,4,Loyal Customers
CUST-0013,156,7,3443.95,2023-08-12,2024-07-22,2.6666666666666665,0.0,491.99,3,4,5,Loyal Customers
CUST-0014,111,11,3861.66,2023-06-13,2024-09-05,3.909090909090909,0.09090909090909091,351.06,4,5,5,Champions
CUST-0015,24,8,2724.1,2023-06-26,2024-12-01,4.5,0.125,340.51,5,4,4,Champions
CUST-0016,101,8,1923.17,2023-09-23,2024-09-15,3.875,0.0,240.4,4,4,3,Champions
CUST-0017,173,8,4023.39,2023-04-29,2024-07-05,3.142857142857143,0.0,502.92,3,4,5,Loyal Customers
CUST-0018,81,5,2864.83,2023-07-17,2024-10-05,3.2,0.0,572.97,5,3,4,Loyal Customers
CUST-0019,93,11,3158.75,2023-02-05,2024-09-23,3.4545454545454546,0.0,287.16,4,5,4,Champions
CUST-0020,84,12,3969.9,2023-02-19,2024-10-02,3.9166666666666665,0.0,330.82,4,5,5,Champions
CUST-0021,92,11,5499.5,2023-04-21,2024-09-24,3.4,0.09090909090909091,499.95,4,5,5,Champions
CUST-0022,108,16,8127.01,2023-04-15,2024-09-08,3.3125,0.0625,507.94,4,5,5,Champions
CUST-0023,170,10,2740.77,2023-07-24,2024-07-08,3.0,0.1,274.08,3,5,4,Loyal Customers
CUST-0024,27,5,2122.98,2024-03-15,2024-11-28,3.8,0.0,424.6,5,3,4,Loyal Customers
CUST-0025,128,10,4012.86,2023-11-01,2024-08-19,3.2,0.1,401.29,3,5,5,Loyal Customers
CUST-0026,101,7,1566.44,2023-12-22,2024-09-15,4.0,0.0,223.78,4,4,3,Champions
CUST-0027,224,8,3185.89,2023-06-24,2024-05-15,3.25,0.0,398.24,2,4,4,At Risk
CUST-0028,277,8,1645.93,2023-07-08,2024-03-23,3.4285714285714284,0.125,205.74,1,4,3,At Risk
CUST-0029,94,7,1992.8700000000001,2023-09-21,2024-09-22,4.0,0.0,284.7,4,4,4,Champions
CUST-0030,31,7,1350.84,2023-08-27,2024-11-24,4.142857142857143,0.0,192.98,5,4,3,Champions
CUST-0031,75,11,5053.3,2023-05-17,2024-10-11,3.0,0.0,459.39,5,5,5,Champions
CUST-0032,144,5,1810.9399999999998,2023-11-05,2024-08-03,2.2,0.2,362.19,3,3,3,Loyal Customers
CUST-0033,44,11,3189.06,2023-08-10,2024-11-11,3.4545454545454546,0.09090909090909091,289.91,5,5,4,Champions
CUST-0034,134,11,3664.08,2023-06-16,2024-08-13,3.6363636363636362,0.0,333.1,3,5,5,Loyal Customers
CUST-0035,136,10,2117.03,2023-03-29,2024-08-11,3.0,0.2,211.7,3,5,4,Loyal Customers
CUST-0036,50,6,1159.22,2023-09-02,2024-11-05,3.6666666666666665,0.0,193.2,5,3,2,Loyal Customers
CUST-0037,160,7,5253.32,2023-10-28,2024-07-18,3.8333333333333335,0.0,750.47,3,4,5,Loyal Customers
CUST-0038,115,12,4104.29,2023-04-18,2024-09-01,3.75,0.16666666666666666,342.02,4,5,5,Champions
CUST-0039,176,9,2636.0299999999997,2023-05-28,2024-07-02,3.3333333333333335,0.0,292.89,2,4,4,At Risk
CUST-0040,48,8,3858.24,2023-06-02,2024-11-07,3.3333333333333335,0.25,482.28,5,4,5,Champions
CUST-0041,84,11,3983.91,2023-04-24,2024-10-02,4.0,0.09090909090909091,362.17,4,5,5,Champions
CUST-0042,188,14,6383.83,2023-06-11,2024-06-20,2.642857142857143,0.14285714285714285,455.99,2,5,5,At Risk
CUST-0043,191,9,2528.91,2023-06-20,2024-06-17,3.6666666666666665,0.0,280.99,2,4,4,At Risk
CUST-0044,209,7,1574.5,2023-03-28,2024-05-30,3.4285714285714284,0.0,224.93,2,4,3,At Risk
CUST-0045,50,11,3258.9,2023-03-05,2024-11-05,3.4545454545454546,0.0,296.26,5,5,5,Champions
CUST-0046,102,11,7018.37,2023-05-13,2024-09-14,3.727272727272727,0.09090909090909091,638.03,4,5,5,Champions
CUST-0047,120,9,3140.9,2023-02-21,2024-08-27,3.7777777777777777,0.0,348.99,4,4,4,Champions
CUST-0048,153,9,4408.9400000000005,2023-03-25,2024-07-25,3.0,0.0,489.88,3,4,5,Loyal Customers
CUST-0049,69,8,2205.73,2023-08-30,2024-10-17,4.25,0.0,275.72,5,4,4,Champions
CUST-0050,162,9,2501.75,2023-05-12,2024-07-16,3.5,0.1111111111111111,277.97,3,4,4,Loyal Customers
CUST-0051,117,14,3545.37,2023-06-18,2024-08-30,3.5,0.07142857142857142,253.24,4,5,5,Champions
CUST-0052,139,9,2209.56,2023-08-30,2024-08-08,3.4285714285714284,0.0,245.51,3,4,4,Loyal Customers
CUST-0053,135,12,3888.8,2023-03-31,2024-08-12,2.75,0.0,324.07,3,5,5,Loyal Customers
CUST-0054,157,10,2380.85,2023-05-23,2024-07-21,3.4,0.0,238.08,3,5,4,Loyal Customers
CUST-0055,30,9,2399.49,2024-01-03,2024-11-25,2.5555555555555554,0.1111111111111111,266.61,5,4,4,Champions
CUST-0056,67,10,2097.14,2023-08-13,2024-10-19,3.2,0.0,209.71,5,5,4,Champions
CUST-0057,166,9,2316.36,2023-06-11,2024-07-12,3.888888888888889,0.0,257.37,3,4,4,Loyal Customers
CUST-0058,30,9,3662.0,2023-05-23,2024-11-25,3.875,0.1111111111111111,406.89,5,4,5,Champions
CUST-0059,74,8,1965.3999999999999,2023-05-25,2024-10-12,4.0,0.0,245.68,5,4,4,Champions
CUST-0060,176,11,4144.35,2023-08-28,2024-07-02,4.2727272727272725,0.0,376.76,2,5,5,At Risk
CUST-0061,95,8,2871.4700000000003,2023-06-02,2024-09-21,3.75,0.0,358.93,4,4,4,Champions
CUST-0062,131,6,662.6600000000001,2023-08-05,2024-08-16,3.8333333333333335,0.0,110.44,3,3,2,Loyal Customers
CUST-0063,28,6,2764.99,2023-04-21,2024-11-27,3.7142857142857144,0.0,460.83,5,3,4,Loyal Customers
CUST-0064,148,9,2924.19,2023-02-04,2024-07-30,2.3333333333333335,0.1111111111111111,324.91,3,4,4,Loyal Customers
