year_month,gross_revenue,net_revenue,product_cost,margin,orders,customers,units,discount_amount,gross_margin_pct,aov,mom_revenue_growth,rolling_3m_revenue
2023-01,15943.21,15315.619999999999,10321.42,4994.2,46,45,62,627.59,0.3261,332.95,,15315.62
2023-02,45860.74,43677.06,27874.84,15802.22,119,114,172,2183.68,0.3618,367.03,1.8518,29496.34
2023-03,77069.81,73673.23,46257.33,27415.9,211,203,308,3396.58,0.3721,349.16,0.6868,44221.97
2023-04,94276.97,91155.81,55693.58,35462.23,288,270,410,3121.16,0.389,316.51,0.2373,69502.03
2023-05,133665.96,128566.74,82714.85,45851.89,385,358,546,5099.22,0.3566,333.94,0.4104,97798.59
2023-06,159911.07,153544.62,96277.83,57266.79,467,416,661,6366.45,0.373,328.79,0.1943,124422.39
2023-07,188491.65,179296.79,116668.24,62628.55,534,469,748,9194.86,0.3493,335.76,0.1677,153802.72
2023-08,209312.6,199847.72,125904.12,73943.6,642,549,888,9464.88,0.37,311.29,0.1146,177563.04
2023-09,261715.4,248813.13999999998,162457.91,86355.23,701,587,987,12902.26,0.3471,354.94,0.245,209319.22
2023-10,311385.88,297026.19,188743.91,108282.28,848,721,1218,14359.69,0.3646,350.27,0.1938,248562.35
2023-11,290194.93,277572.39,175645.69,101926.7,841,692,1165,12622.54,0.3672,330.05,-0.0655,274470.57
2023-12,339928.27999999997,326195.2,205272.42,120922.78,984,819,1397,13733.08,0.3707,331.5,0.1752,300264.59
2024-01,395837.34,381415.93,241840.29,139575.64,1087,858,1544,14421.41,0.3659,350.89,0.1693,328394.51
2024-02,381216.39,364987.52999999997,230501.43,134486.1,1104,850,1573,16228.86,0.3685,330.6,-0.0431,357532.89
2024-03,426412.65,407542.44,257247.3,150295.14,1219,935,1744,18870.21,0.3688,334.33,0.1166,384648.63
2024-04,463035.88,442651.43,280792.66,161858.77,1297,977,1839,20384.45,0.3657,341.29,0.0861,405060.47
2024-05,463235.56,444738.17,283340.51,161397.66,1293,966,1857,18497.39,0.3629,343.96,0.0047,431644.01
2024-06,353691.35,338153.94,214516.45,123637.49,1011,818,1441,15537.41,0.3656,334.47,-0.2397,408514.51
2024-07,328236.48,313860.39,200999.81,112860.58,900,751,1310,14376.09,0.3596,348.73,-0.0718,365584.17
2024-08,249935.67,239006.49,150596.94,88409.55,724,610,1029,10929.18,0.3699,330.12,-0.2385,297006.94
2024-09,190702.88999999998,180431.5,114586.14,65845.36,576,503,835,10271.39,0.3649,313.25,-0.2451,244432.79
2024-10,155488.9,149302.98,94436.74,54866.24,401,373,624,6185.92,0.3675,372.33,-0.1725,189580.32
2024-11,91287.84,87318.37,55170.08,32148.29,230,217,332,3969.47,0.3682,379.65,-0.4152,139017.62
2024-12,30893.89,29127.36,19299.81,9827.55,80,78,108,1766.53,0.3374,364.09,-0.6664,88582.9
