brand,net_revenue,share,cumulative_value,cumulative_share,rank
Aurahome,969505.05,0.1791,969505.05,0.1791,1
Technova,852313.77,0.1575,1821818.82,0.3365,2
Pulseaudio,535130.7,0.0989,2356949.52,0.4354,3
Soundpeak,383482.02,0.0708,2740431.54,0.5062,4
Apexgear,371030.05,0.0685,3111461.59,0.5748,5
Omnivolt,319638.77999999997,0.059,3431100.37,0.6338,6
Zenfit,290131.54,0.0536,3721231.91,0.6874,7
Havencraft,222369.3,0.0411,3943601.21,0.7285,8
Luxliving,204511.74,0.0378,4148112.95,0.7663,9
Velosprint,204019.63999999998,0.0377,4352132.59,0.804,10
Summitpro,200742.72,0.0371,4552875.31,0.8411,11
Urbanchic,200409.81,0.037,4753285.12,0.8781,12
Cozynest,147622.06,0.0273,4900907.18,0.9054,13
Trailblaze,93662.87,0.0173,4994570.05,0.9227,14
Swiftstyle,88692.71,0.0164,5083262.76,0.939,15
Vogueera,84298.82,0.0156,5167561.58,0.9546,16
Pureessence,82597.31,0.0153,5250158.89,0.9699,17
Glowlabs,76680.65,0.0142,5326839.54,0.984,18
Dermacare,56153.5,0.0104,5382993.04,0.9944,19
Vitalbotanics,30228.0,0.0056,5413221.04,1.0,20
